ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000003,708.5978615369985,-0.3788301398475388,0.17353074683718941,-2.183072145727386,0.029030497456000903,0.138699484095893
ENSG00000000419,520.2962969252739,0.20378557003556497,0.10043092187305816,2.0291118137215163,0.04244690289645555,0.1798572749282625
ENSG00000000457,237.16210383446366,0.03408985381025303,0.12558538095293018,0.2714476283113718,0.7860467744964174,0.9279350699657873
ENSG00000000460,57.93238032128938,-0.11712166022112466,0.2984229736254021,-0.39246864542051846,0.6947119741377358,0.8907618022382958
ENSG00000000971,5817.31081674539,0.440978253382983,0.260266064577485,1.6943363480708309,0.09020138733018883,0.2984831172839941
ENSG00000001036,1282.1006881784065,-0.2419020895385508,0.11997013600517914,-2.016352549005261,0.043763123605131724,0.18332527779538235
ENSG00000001084,609.888711231609,-0.029593565887605144,0.2321980337028837,-0.12744968342614185,0.8985844951315971,0.9695334788533964
ENSG00000001167,369.340563608024,-0.4896061717192494,0.21102707593021117,-2.320110675661199,0.020334890973433353,0.10696001635983296
ENSG00000001460,183.23689272101717,-0.13346113345815602,0.16424520677499652,-0.812572470629159,0.4164632205795529,0.7105188351926022
ENSG00000001461,2813.8374225541556,-0.04270487125959458,0.2927079920433361,-0.14589581569495386,0.8840036348375818,0.9635922182747763
ENSG00000001497,539.8215747308816,-0.0024495874526700855,0.09780788096463955,-0.025044888290297218,0.9800191591464864,0.9948802135984457
ENSG00000001561,114.037077799749,0.2696162056513892,0.8645157261207882,0.3118696369598707,0.7551395986325742,0.9167130727764419
ENSG00000001617,598.6643070183645,-0.24752616082896753,0.17149680724880637,-1.4433280992214526,0.14892806785734766,0.40665930747228013
ENSG00000001626,5.764935381857271,-1.0553191760578704,0.6263736879351559,-1.6848076418036262,0.09202569007336203,0.30240062146698105
ENSG00000001629,1779.81786317606,-0.22622392715304088,0.13210734226607995,-1.712425087603374,0.08681835902993584,0.2913723494689755
ENSG00000001630,54.72746768236597,0.012432852823815961,0.2971854341413033,0.041835337117849765,0.9666299647153804,0.9907786715943805
ENSG00000001631,785.4496167377388,-0.03635362940089639,0.10800574753849285,-0.3365897670208716,0.7364261712791382,0.9091163065030052
ENSG00000002016,183.85963986049126,-0.3084290051618001,0.1599073168942807,-1.9287985762759772,0.053755872664104185,0.21215482106932673
ENSG00000002079,1.4277273070492402,-2.0376097129924924,1.5542295776938364,-1.3110094816339133,0.18985456025588754,
ENSG00000002330,178.0560835950094,0.09008545245697293,0.14395534847757388,0.6257874640274788,0.5314543553968235,0.7930901097757297
ENSG00000002549,1253.6302802742975,0.18015083758184255,0.1680041021922366,1.0723002309533323,0.28358520308214263,0.5860683792785778
ENSG00000002586,8285.397930297931,0.08817235981675937,0.12294585332656018,0.7171641615481095,0.47327280984046394,0.7534640609675926
ENSG00000002745,6.899829542212149,-0.28407228753671465,0.9555664236873117,-0.2972815709038257,0.7662515502859012,0.9200914383486483
ENSG00000002746,108.44215151566,0.11254265421256587,0.29468940536831423,0.3819026139467271,0.7025336013365692,0.8951190942097088
ENSG00000002822,349.80618614665275,-0.15755643233062724,0.13338521090056982,-1.1812136537991123,0.23751785854464902,0.5332713198122058
ENSG00000002834,7168.801725546473,0.398604459974064,0.10278593453101721,3.878005894413297,0.00010531616629229456,0.0016028076051839704
ENSG00000002919,250.50767686845575,0.3913848512442748,0.14632536451914066,2.67475739787464,0.0074783344468277516,0.050405072747133885
ENSG00000002933,540.2778714586372,0.40251071764429275,1.421640796003848,0.2831310966706412,0.7770763447550979,0.9246431655745311
ENSG00000003056,1065.2665276851053,-0.0713452044904046,0.09169449202228494,-0.7780751375236938,0.43652471884775446,0.7269490592857115
